0,1,2,3,4,5,6,7,8,9,10,11
1,217,156,39,194,32,192,44,141,198,16,181
301,247,448,143,670,71,548,459,118,545,61,622
301,247,448,143,670,71,548,459,118,545,61,622
61,622,301,247,448,143,670,71,548,459,118,545
61,622,301,247,448,143,670,71,548,459,118,545
84,42,168,12,131,125,14,167,2,198,130,22
84,42,168,12,131,125,14,167,2,198,130,22
130,22,84,42,168,12,131,125,14,167,2,198
130,22,84,42,168,12,131,125,14,167,2,198
32,44,86,2,94,102,18,110,10,116,68,24
32,44,86,2,94,102,18,110,10,116,68,24
68,24,32,44,86,2,94,102,18,110,10,116
68,24,32,44,86,2,94,102,18,110,10,116
368,80,505,262,151,259,148,487,58,396,383,96
368,80,505,262,151,259,148,487,58,396,383,96
383,96,368,80,505,262,151,259,148,487,58,396
383,96,368,80,505,262,151,259,148,487,58,396
0,124,78,28,118,10,104,0,108,138,4,132
0,124,78,28,118,10,104,0,108,138,4,132
4,132,0,124,78,28,118,10,104,0,108,138
4,132,0,124,78,28,118,10,104,0,108,138
116,11,108,15,174,52,52,101,40,184,2,153
116,11,108,15,174,52,52,101,40,184,2,153
2,153,116,11,108,15,174,52,52,101,40,184
2,153,116,11,108,15,174,52,52,101,40,184
248,224,542,84,390,365,65,510,67,615,335,74
248,224,542,84,390,365,65,510,67,615,335,74
335,74,248,224,542,84,390,365,65,510,67,615
335,74,248,224,542,84,390,365,65,510,67,615
10,232,216,46,326,0,268,58,188,280,8,302
10,232,216,46,326,0,268,58,188,280,8,302
8,302,10,232,216,46,326,0,268,58,188,280
8,302,10,232,216,46,326,0,268,58,188,280
436,94,381,242,147,606,29,378,114,312,621,29
436,94,381,242,147,606,29,378,114,312,621,29
621,29,436,94,381,242,147,606,29,378,114,312
621,29,436,94,381,242,147,606,29,378,114,312
55,59,108,33,165,7,128,118,22,129,20,184
55,59,108,33,165,7,128,118,22,129,20,184
20,184,55,59,108,33,165,7,128,118,22,129
20,184,55,59,108,33,165,7,128,118,22,129
0,154,108,18,142,2,126,46,76,124,26,150
0,154,108,18,142,2,126,46,76,124,26,150
26,150,0,154,108,18,142,2,126,46,76,124
26,150,0,154,108,18,142,2,126,46,76,124
102,20,71,106,10,103,0,93,72,32,139,0
102,20,71,106,10,103,0,93,72,32,139,0
139,0,102,20,71,106,10,103,0,93,72,32
139,0,102,20,71,106,10,103,0,93,72,32
287,27,212,30,324,185,74,172,107,333,21,280
287,27,212,30,324,185,74,172,107,333,21,280
21,280,287,27,212,30,324,185,74,172,107,333
21,280,287,27,212,30,324,185,74,172,107,333
136,5,72,12,65,180,4,112,13,92,83,18
136,5,72,12,65,180,4,112,13,92,83,18
83,18,136,5,72,12,65,180,4,112,13,92
83,18,136,5,72,12,65,180,4,112,13,92
734,115,560,503,116,616,116,755,335,250,416,189
734,115,560,503,116,616,116,755,335,250,416,189
416,189,734,115,560,503,116,616,116,755,335,250
416,189,734,115,560,503,116,616,116,755,335,250
95,603,502,131,586,129,763,332,296,507,162,683
95,603,502,131,586,129,763,332,296,507,162,683
162,683,95,603,502,131,586,129,763,332,296,507
162,683,95,603,502,131,586,129,763,332,296,507
107,69,210,9,163,162,16,157,18,235,70,61
107,69,210,9,163,162,16,157,18,235,70,61
70,61,107,69,210,9,163,162,16,157,18,235
70,61,107,69,210,9,163,162,16,157,18,235
361,140,684,33,538,56,448,638,41,605,47,572
361,140,684,33,538,56,448,638,41,605,47,572
47,572,361,140,684,33,538,56,448,638,41,605
47,572,361,140,684,33,538,56,448,638,41,605
813,282,1350,162,1046,81,1019,1381,34,1324,12,1202
813,282,1350,162,1046,81,1019,1381,34,1324,12,1202
12,1202,813,282,1350,162,1046,81,1019,1381,34,1324
12,1202,813,282,1350,162,1046,81,1019,1381,34,1324
368,191,416,259,780,24,666,637,96,588,85,845
368,191,416,259,780,24,666,637,96,588,85,845
85,845,368,191,416,259,780,24,666,637,96,588
85,845,368,191,416,259,780,24,666,637,96,588
6,96,10,98,168,10,164,0,114,102,18,170
6,96,10,98,168,10,164,0,114,102,18,170
18,170,6,96,10,98,168,10,164,0,114,102
18,170,6,96,10,98,168,10,164,0,114,102
524,12,332,11,428,301,80,538,7,338,51,265
524,12,332,11,428,301,80,538,7,338,51,265
51,265,524,12,332,11,428,301,80,538,7,338
51,265,524,12,332,11,428,301,80,538,7,338
417,65,404,65,603,124,205,371,136,602,24,492
417,65,404,65,603,124,205,371,136,602,24,492
24,492,417,65,404,65,603,124,205,371,136,602
24,492,417,65,404,65,603,124,205,371,136,602
810,88,829,40,1083,526,102,474,155,1075,165,606
810,88,829,40,1083,526,102,474,155,1075,165,606
165,606,810,88,829,40,1083,526,102,474,155,1075
165,606,810,88,829,40,1083,526,102,474,155,1075
910,82,660,666,122,709,85,818,459,237,539,234
910,82,660,666,122,709,85,818,459,237,539,234
539,234,910,82,660,666,122,709,85,818,459,237
539,234,910,82,660,666,122,709,85,818,459,237
1024,109,895,234,695,917,120,978,98,923,631,297
1024,109,895,234,695,917,120,978,98,923,631,297
631,297,1024,109,895,234,695,917,120,978,98,923
631,297,1024,109,895,234,695,917,120,978,98,923
209,13,143,10,134,200,19,188,8,199,150,40
209,13,143,10,134,200,19,188,8,199,150,40
150,40,209,13,143,10,134,200,19,188,8,199
150,40,209,13,143,10,134,200,19,188,8,199
12,26,218,0,84,0,141,99,8,104,0,62
12,26,218,0,84,0,141,99,8,104,0,62
0,62,12,26,218,0,84,0,141,99,8,104
0,62,12,26,218,0,84,0,141,99,8,104
326,7,287,287,45,268,38,405,118,87,114,122
326,7,287,287,45,268,38,405,118,87,114,122
114,122,326,7,287,287,45,268,38,405,118,87
114,122,326,7,287,287,45,268,38,405,118,87
